Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Java Exception Handling,"As you build any application, you can’t just assume that everything will run as expected. There are so many things that could cause your applications to not function properly or even crash. This course aims to teach developers how to handle such unforeseen scenarios in applications. Join instructor Cecili Reid as she teaches you the different types of exceptions, how to handle exceptions, and how to test an application to ensure it handles exceptions as expected. Cecili uses a sample Spring Boot web app as a case study and walks through practical scenarios where you’d want to use exception handling in that application. She starts with an initial application that doesn’t have exception handling mechanisms, and as she walks through each concept, she shows you how to improve the application by applying the concepts taught in each chapter. Cecili also shares some best practices to follow when handling exceptions in your applications.",Course,2023-01-03 01:36 UTC,N/A,false,N/A,
Nano Tips for Handling Difficult Work Situations with Tiffany Uman,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover strategies for identifying, addressing, and overcoming difficult situations at work, with expert advice from career strategy coach, former Fortune 500 senior director, author, and global speaker Tiffany Uman.</p><p>Explore the fundamentals of successfully navigating challenging workplace dynamics. Learn how to push back at work, think on your feet with confidence, manage overlapping deadlines and conflicts, deal with other people taking credit for your work, and receive feedback with grace and poise. Along the way, Tiffany shares practical insights on overcoming common mistakes so you can stay focused on what matters most. By the end of this course, you’ll be ready to speak up in meetings, make last-minute pivots, and leverage the full power of your professional voice.</p>",Course,2025-04-02 02:58 UTC,N/A,false,N/A,
Be the Manager People Won't Leave,"<div><a href=""https://www.linkedin.com/newsletters/6457790820677410816?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Laurie's LinkedIn Newsletter</a></div><p>With the ""Great Reshuffle,"" employees are quitting their jobs at the highest rates in over 20 years, and 41% of the global workforce is considering leaving their jobs. Manager relationships are becoming the make-or-break point for whether employees stay or go. Join veteran HR leader Laurie Ruettimann as she reveals the data behind why it's more important than ever to be a manager who demonstrates empathy and inspires loyalty from the workforce. Laurie covers basics first: be someone people can trust, be an example of integrity, and be relentlessly inclusive. She steps you through ways to inspire your employees to grow. Laurie finishes up by showing you how you can help your team members love their work by being a next-level mentor, a fun-loving boss, and a leader who is genuinely invested in your employees’ well-being.</p>",Course,2022-01-04 02:16 UTC,N/A,false,N/A,
How to Be Both Assertive and Likable,"<p>Managing the inherent tension between the friendliness that encourages rapport and the assertiveness that is required to be effective can be tricky. In this course, adapted from the American Negotiation Institute podcast <em>Negotiate Anything</em>, Kwame Christian discusses with Hamilton Chan how to build rapport, stand your ground, and manage the flow of information. Hamilton is the head of executive education and visiting professor of business and technology at Loyola Law School, Los Angeles and CEO of Coaching for Startups LLC. He explains why rapport is so powerful and provides tips to stay strong at the negotiation table. Plus, learn why it’s so important to understand your options before you start difficult conversations. </p><p>This course was created by the American Negotiation Institute. We are pleased to offer this training in our library. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/negotiation-professional-certificate-by-american-negotiation-institute"" target=""_blank"">Professional Certificate</a> from American Negotiation Institute.</p>",Course,2022-05-26 01:00 UTC,N/A,false,N/A,
Creating Illustrative Design,"Illustrative design involves using an illustrative approach, such as a new brand identity or icon, to solve a design problem. This type of approach can be challenging for designers who aren't illustrators. In this course, designer and illustrator Von Glitschka breaks down the process into beginner-friendly steps. Von explains illustrative design and how it differs from graphic design. He shows you how to prepare by defining your theme, subject matter, and style, then gathering reference material. Von covers several drawing processes, stepping through deductive drawing, thumbnail drawing, rough drawing, and a final refined drawing. He walks you through building and coloring vector art, then concludes with helpful tips on finalizing your designs and presenting them to clients.",Course,2023-03-02 17:34 UTC,N/A,false,N/A,
Miss Excel’s Top Productivity Hacks,"Want to become an Excel power user? Follow along with Excel MVP Kat Norton, a.k.a. Miss Excel, as she introduces you to her favorite productivity hacks for cleaning, analyzing, and formatting data in Excel. These tips and tricks can save you hours each week and help you do more with your data. Kat covers the hottest topics in Excel including the new XLOOKUP function, dropdown menus, Flash Fill, and more.",Course,2023-04-28 23:20 UTC,N/A,false,N/A,
Nano Tips to Uncover Your Strengths with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore the power of uncovering your inner strengths and managing your weaknesses to promote personal growth.</p><p>Join peak performance researcher and behavioral strategist Shadé Zahrai to learn the secrets of identifying and evolving your strengths with a genuinely curious, growth-focused mindset. Unearth your best possible self and start building on the innate qualities of your character, gathering feedback, unlocking your full potential, seeking balance, and finding your flow state. Along the way, Shadé shows you how to scrutinize your weaknesses to weed out bad habits, play to your strengths, and invest in your future self.</p>",Course,2025-08-04 23:08 UTC,N/A,false,N/A,
Navigating the EU AI Act,"<p>The European Union (EU) Artificial Intelligence (AI) Act is a first-of-its-kind global regulation for trustworthy AI. Once passed into law, the act will enforce a legal framework using a risk-based approach aimed at regulating the development, deployment, and use of AI in the European Union. Companies failing to abide by the reporting and transparency requirements defined in the act will be subject to monetary repercussions.
</p><p>
In this course, Tristan Ingold examines the transformative EU AI Act. He defines AI systems in the context of the EU and identifies requirements and obligations imposed by the act on AI system providers and users. He also details the various business and technical challenges and opportunities that stakeholders will have to consider. Whether you are a developer, business leaders, risk and compliance professional, or just interested in understanding the future of AI regulation, this course should help you understand how legislative developments will impact AI systems.",Course,2024-11-01 02:32 UTC,N/A,false,N/A,
Working with Upset Customers,"<div><a href=""https://www.linkedin.com/newsletters/6853700651663409152?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Jeff's LinkedIn Newsletter</a></div><p>More than any other topic, customer service professionals ask for advice on how to serve angry and upset customers. This course reveals proven techniques for effectively neutralizing negative situations. Customer service expert Jeff Toister also shares specific actions employees can take before <em>and</em> after encounters with upset customers that will reduce the likelihood of problems occurring in the future.",Course,2025-04-02 02:58 UTC,N/A,false,N/A,
Influencing Others,"<p>Ever had trouble persuading someone to do something, even if it was in their best interest? Sometimes people don't budge, but thankfully you have more than rewards and penalties at your disposal. Join John Ullmen, PhD, as he explains how to influence others when you're at the ""pivot point of influence,"" by applying 18 scientifically confirmed methods. Whether you're influencing at work or at home, you can learn what the best influencers do before they influence, and see how to choose the best steps for your situation, and have people want to be influenced by you. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2022-05-25 16:34 UTC,N/A,false,N/A,
Build with AI: Beyond Pair Programming with AI,"Effective use of AI coding assistants can speed up and improve the software development process through rapid code generation, iteration, experimentation, and a modern take on test-driven development (TDD). Apply AI tools to build and expand coding projects, create new components by generating fit-for-purpose boilerplate code, validate projects with AI-generated tests, automatically document and expand projects, and more. The course covers building new projects from scratch as well as using AI to upgrade and refactor existing codebases.",Course,2025-07-15 15:46 UTC,N/A,false,N/A,
Financial Modeling Foundations,"By distilling key information regarding cash flow levels and risks, financial modeling helps decision-makers make informed choices based on data analytics that move their firms forward. In this course, learn how to build financial models that can be used in corporate finance, investment banking, commercial banking, and portfolio management. Professor Michael McDonald covers financial statement models, investment banking models, M&A models, buyout models, and DCF models—all using Microsoft Excel. Throughout the course, Michael includes exercises—together with downloadable exercise files—that can provide you with a practical understanding of these key topics.",Course,2022-11-08 02:25 UTC,N/A,false,N/A,
Excel: Advanced Formulas and Functions (2022),"Follow along with Excel expert Dennis Taylor as he demystifies the hundreds of formulas and functions available in Excel. Dennis starts with a few critical formula shortcuts that will speed up your work, then covers a variety of functions, such as VLOOKUP, MATCH, and INDEX, statistical functions, text functions, and date and time, math, text, and information functions. Dennis provides practical examples to help viewers easily transition to using Excel's most powerful formulas and functions in real-world scenarios. Note that this course is recorded in Excel for Office 365 but anyone using a recent version—including 2019, 2016, and 2013—will be able to follow along.",Course,2021-11-11 00:45 UTC,N/A,false,N/A,
Responsible AI for Managers,"<p>As AI adoption in organizations evolves, managers need to ensure their teams are using AI responsibly. In this course, instructor Terri Horton shows you how to design and implement responsible AI practices and hold yourself and your team accountable as a manager.</p><p>Explore the manager's role in responsible AI, in theory and in practice. Get an overview of the guiding principles of ethical AI and responsible AI in management. Terri offers insights on accountability—including data privacy, safety, and how to mitigate bias and risk—before covering key management practices during AI implementation such as decision-making, employee engagement, and psychological safety. Along the way, learn more about AI in action with real-world case examples drawn from business management.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/generative-ai-for-recruiting-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-07-31 19:43 UTC,N/A,false,N/A,
Building Angular and Django Apps,"Put your Angular and Django REST knowledge to the test. In this course, join Rudolf Olah as he delves into the intricacies of pairing the two frameworks to build dynamic web applications. Throughout the course, Rudolf demonstrates how to wire together the two frameworks, add pagination, secure, and test your applications. Discover how to prepare your Angular code for production, communicate between the front-end and back-end servers using the built-in Angular HttpClient, and use the Angular Material UI component framework to display pop-up dialog boxes and data in tables. Plus, learn how to set up authentication with the Django OAuth Toolkit, implement filtering with Django and Angular, and use unit and end-to-end testing to ensure that your app is ready for production.",Course,2021-10-13 17:40 UTC,N/A,false,N/A,
VMware vSphere 7 Professional,"<p>Are you looking for VMware vSphere Training? Do you want to learn from an experienced trainer who makes complex concepts simple and easy to understand? Do you need to prepare for the VMware Certified Professional Datacenter Virtualization (VCP-DCV) exam? In this course, Rick Crisci, a VMware Certified Instructor who has taught thousands of hours of live training directly for VMware, guides you through what you need to know about VMware vSphere 7 Professional. Explore topics including vSphere networking, storage, and monitoring tools. Find out the best ways to secure deployments. Learn about updates and upgrades, as well as how to deploy vSphere VMs and hosts. Deep dive into resource management and the Distributed Resource Scheduler (DRS). Build your understanding and skills for troubleshooting, backup, and recovery. Plus, explore advanced vSphere management topics. Useful instructor demos reinforce the topics you cover.</p>

<p>This course was created by Rick Crisci. We are pleased to host this training in our library.</p>",Course,2024-11-29 01:19 UTC,N/A,false,N/A,
Digital Transformation,"It seems as though everywhere you turn, digital transformation is happening. But what is digital, exactly, and what does it encompass? In this course, instructor Peter High helps business leaders better understand the definition of the term; the implications for people, processes, and technology; the risks of ignoring the digital transformation trend; and the rewards one can garner from riding this wave. Learn about the different stages of digital maturity, and the best ways to draw inspiration and insights from digital native companies like Google, Amazon, and Netflix, as well as from digital immigrant companies like FedEx and Domino's Pizza. He also covers the ideal backgrounds of digital leaders. Peter wraps up the course by explaining how to create a strategic digital transformation plan for your organization.",Course,2022-05-26 00:17 UTC,N/A,false,N/A,
Nano Tips for Smarter Learning and Better Relationships with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai shares tips and strategies for building continuous growth—both personal and formulaic—that will enhance your ability to interact with people and strengthen relationships.",Course,2025-08-06 03:30 UTC,N/A,false,N/A,
Daniel Pink on Motivation,"The central task of leaders and managers is to help their people perform at their best and contribute the most. In this course, join #1 <i>New York Times</i> best-selling author Daniel Pink as he shares science-backed methods for effectively motivating others. With his trademark clarity, Pink distills the crucial research on human motivation. And he shares practical takeaways in the three key areas lead to enduring high performance: autonomy, mastery, and purpose. Pink teaches a group exercise to help surface your team’s purpose, then shows you how to create a sense of connection. He explains the secrets of effective feedback and how to promote progress using simple 90-second practices. And since offering employees space to make small changes in their jobs can dramatically boost engagement, Pink walks you through how to carve out small islands of autonomy to spark your team’s innovation and deepen their commitment.",Course,2021-07-09 18:53 UTC,N/A,false,N/A,
Excel: Financial Functions in Depth (2019),"Analyzing financial data can seem intimidating, but Microsoft Excel has a wide range of functions to perform these calculations quickly and easily. This course shows users how and when to use each of the financial functions available in Excel. Author Curt Frye covers evaluating loan payments; calculating depreciation; determining rates of return, bond coupon dates, and security durations; calculating prices and yields; and more.<br><br>

Note: This course was recorded in Office 365, but anyone using a recent version of Excel—including 2019, 2016, and some earlier versions—will be able to follow along.",Course,2022-02-01 02:04 UTC,N/A,false,N/A,
Learning C++ (2021),"C++ is one of the most powerful and widely used programming languages of all time. It is also one of the oldest programming languages in use today. In this course, learn the basic elements of this object-oriented programming language that moves the world. Instructor Eduardo Corpeño begins with setting up the development environment and introducing the basic elements of object-oriented programming. Eduardo covers data types such as variables, expressions, assignments, constants, and more. He explains structures, classes, pointers, vectors, and so on. After stepping through the control flow process and a variety of useful functions, Eduardo finishes up with detailed information on opening and working with files.",Course,2024-01-06 23:16 UTC,N/A,false,N/A,
Generative AI: Introduction to Large Language Models,"<p>Generative AI tools such as ChatGPT, DALL·E, Bard, and Stable Diffusion have received a lot of press, as of late. In this course, information technology professional and teacher Fred Nwanganga provides learners with a gentle introduction to what these tools are, how they work, and how they fit into the larger AI ecosystem. Explore generative AI with large language models (LLMs). Learn what generative AI and LLMs are, what types of LLMs exist, and how they have evolved. Dive into neural networks, including how they learn and an overview of deep learning and its transformative impact. Discover the building blocks of LLMs, such as the transformer architecture, encoders and decoders, the attention mechanism, and self–attention. Plus, go over the societal implications of LLMs. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-science-professional-certificate-by-knime"" target=""_blank"">Professional Certificate</a> from KNIME.</p>",Course,2025-07-31 17:11 UTC,N/A,false,N/A,
CEO Excellence: The Six Mindsets of Exceptional Leaders (Book Bite),"<p>Not all successful leaders work alike, but many share the same skills and qualities. In the 2022 book <i>CEO Excellence: The Six Mindsets That Distinguish the Best Leaders from the Rest</i>, best-selling authors and senior partners at McKinsey & Company Carolyn Dewar, Scott Keller, and Vikram Malhotra explore the six mindsets of exceptional leaders to highlight what it takes to become a better leader in business and life. Tune into this audiobook summary from Next Big Idea Club to hear Carolyn, Scott, and Vikram share five key insights from <i>CEO Excellence</i>. Learn how to develop skills for CEO excellence, why the CEO role is more important than ever, why so few people excel in the CEO role, why being a CEO is more about spinning plates than finding silver bullets, and how to adopt the six most important CEO mindsets, including direction setting, aligning the organization, mobilizing through leaders, engaging the board, connecting with stakeholders, and managing personal effectiveness.</p><p>Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.</p>",Course,2024-05-01 00:00 UTC,N/A,false,N/A,
Nano Tips for Effortless Influence with Shadé Zahrai,"Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai shows you how to exude effortless influence. She starts with outlining the basics of influence, followed by sharing key influence tactics—leveraging social proof, offering choices, and influencing with emotional intelligence. Shadé then takes it up a level with some pro-level influence techniques, explaining how to influence those with greater authority and how to sway skeptics.",Course,2024-11-19 03:45 UTC,N/A,false,N/A,
Foundations of Performance Management,"<p>As a leader, you are deemed a success when your direct reports thrive and reach their goals and full potential. In this course, join instructor Nigel Cumberland as he dives into the subject of performance management, explaining how to manage and optimize your team's performance in support of your company's mission and overall objectives. Nigel—a prolific author, leadership development expert, and executive coach—explains how to set up your team up for success by ensuring that employees have clear, measurable, and achievable goals. He shares tips for delivering feedback to employees, as well as how to determine when 360° feedback is needed. In addition, he discusses how to define your team's learning needs; craft an individual—and team—training and development plan; manage both poor- and high-performing individuals; and maintain a working environment that encourages, acknowledges, and rewards exceptional performance.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-new-manager-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2024-11-16 13:03 UTC,N/A,false,N/A,
Creating a Career Plan,"The employment landscape can be volatile and scary. But with a solid career plan, you will be prepared and adept at finding work for the rest of your life. An effective career plan includes knowing how to determine, articulate, and sell your personal brand. In this course, Dr. Chaz Austin guides you through the key steps of career planning, from identifying your dream job and your monetizeable passion to branding and networking, so you can be sure to land that next opportunity.",Course,2022-05-26 00:19 UTC,N/A,false,N/A,
Data Management with Apache NiFi,"<p>Apache NiFi is designed to automate the flow of data between software systems. If you are a data management professional, this course can give you the understanding you need to get started with this powerful tool. Janani Ravi guides you through getting started with Apache NiFi. Learn about core concepts and architecture, as well as how to download, start, and log into Apache NiFi on both macOS and Windows. Find out how to build and run data flows and how to integrate NiFi with PostgreSQL. Explore ways to configure and use NiFi processors and processing groups and integrate NiFi with Amazon S3. Plus, discover advanced features of NiFi dataflows like configuring back pressure, using a funnel in the dataflow, setting up monitoring and configuring alerts for a dataflow, and much more.</p>

<p>This course was created by Janani Ravi. We are pleased to host this training in our library.</p>",Course,2024-12-26 19:25 UTC,N/A,false,N/A,
Model Context Protocol (MCP): Hands-On with Agentic AI,"The Model Context Protocol (MCP) allows developers to add agent behavior to LLMs by providing a universal protocol providing context to language models so they can interface with data and applications in a consistent way. MCP servers expose resources (data), tools (actions), and prompts (instructions) for the LLM and the user to use in performing more complex operations. In this course you’ll explore how the MCP works in Claude Desktop to extend its functionality, and you’ll build your own MCP servers using Python and TypeScript to give LLMs new capabilities to do things on the computer, connect with external APIs, and perform advanced multi-step actions.",Course,2025-08-16 21:01 UTC,N/A,true,N/A,
Excel Tips Weekly,"<p>This tips-based course will show Excel users productivity-boosting tricks, cool hidden features, need-to-know functions, and advanced content on subjects such as using PivotTables for data analysis. Tune in every Tuesday for a new tip from expert Dennis Taylor. Each tutorial is a short, self-contained lesson guaranteed to give you new insights into Excel.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2021-04-13 01:31 UTC,N/A,false,N/A,
Generative AI and LLMOps: Building Blocks and Applications,"As large language models are becoming increasingly prevalent in various industries, professionals need to understand how to build, fine-tune, and deploy these models effectively and responsibly. In this course, learn the foundations of building, fine-tuning, and deploying LLMs in real-world applications. Instructors Soham Chatterjee and Archana Vaidheeswaran start with an introduction to LLMs and their evolution in the AI landscape. They then dive into LLM architectures, show you how to fine tune strategies for custom tasks, explain why and how to compress LLMs, and, finally, cover important aspects of prompt engineering. Through the course, they offer a series of challenges and solutions so you can practice the lessons as you go.",Course,2025-06-02 16:43 UTC,2025-06-02 16:42 UTC,false,N/A,
Unlocking Authentic Communication in a Culturally-Diverse Workplace,"<p>What does it take to be a great communicator, particularly in a global and culturally-diverse modern workplace? The answer is, largely, authenticity. In this course,  Jonathan Wilson teaches key principles of authentic communication, real-world tips for practicing authentic communication, and how to develop cultural awareness so you can build relationships, support colleagues from underrepresented groups, and be a more effective professional. Jonathan explores what it means to be authentic in a way that celebrates who you are, resonates with others, highlights the importance of cultural differences, and energizes those around you. It may take a while and some work to attain competence and expertise in these areas, but if you’re looking to be someone who can connect with anybody with ease, navigate tricky conversations, and learn what matters to people, join Jonathan in this course.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/dei-awareness-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2022-02-11 23:46 UTC,N/A,false,N/A,
Cisco CCNA (200-301) Cert Prep: 1 Network Fundamentals and Access,"<p>The Cisco Certified Network Associate (CCNA) certification has been updated to reflect the latest technologies and job roles. The revised exam tests IT professionals' understanding of foundational networking topics in six domains, including the two covered in this course: network fundamentals and network access. Join instructor Greg Sowell for this comprehensive review, designed to refresh your skills on topics such as network components and architecture, IP addressing, routing, switch configuration, and virtualization. Greg also reviews connectivity and access-related topics such as VLANs and wireless architectures. The lessons are full of diagrams and demos on real routers and switches, so you can develop the skills you need to pass the exam and have a more successful career.</p><p>Note: A complete overview of the exam and registration instructions can be found at <a href=""https://www.cisco.com/c/en/us/training-events/training-certifications/exams/current-list/ccna-200-301.html"" target=""_blank""> https://www.cisco.com/c/en/us/training-events/training-certifications/exams/current-list/ccna-200-301.html</a>.</p>",Course,2022-11-12 02:31 UTC,N/A,false,N/A,
Practical Python for Algorithmic Trading,"If you work in finance or have any interest in investing and trading, you know that there’s a treasure trove of financial data available to you at any moment. But how can you use all that information to your advantage? Algorithmic trading using machine learning techniques can help you make trading decisions based on data. In this course, Jesus Lopez teaches you about data preprocessing, feature engineering, and how to use advanced machine learning models to enhance your trading strategies. He shows you how to download stock market data from Yahoo Finance to be trained on machine learning models that can make predictions, and how to create investment decisions based on these predictions. Learn how to optimize your strategies, understand backtesting techniques, and interpret performance reports with confidence.",Course,2025-08-20 16:23 UTC,N/A,false,N/A,
GitHub Essential Training: 1 The Basics,"If you’re looking to get started with GitHub, you’ve come to the right place. In this course, instructor Jerome Hardaway shows you the skills you need to know to get up and running with the industry-standard tool for collaborating on coding projects and sharing work in real time. Learn how to use the wide variety of features built into GitHub that support and enhance the modern software pipeline, leveraging the extensibility of the GitHub ecosystem which lets you customize and enhance existing workflows. Get a brief introduction to the GitHub command line to find out how to create, read, update, delete, fork, and clone a repo on your own. Jerome covers the basics of recharged repos, managing a GitHub project board, and how to create and work with GitHub issues. Upon completing this course, you’ll be prepared to start using GitHub on all kinds of coding projects, modifying your workflow as you go.",Course,2025-06-05 21:08 UTC,N/A,false,N/A,
Learning Excel 2019,"Microsoft Excel puts a wealth of functionality at your fingertips. This course was designed to focus on the most essential of these functions, covering the features and capabilities that brand-new users need to get going with the 2019 version of Excel. Instructor David Rivers covers creating and opening workbooks, entering text and numbers, working with formulas, basic formatting, inserting charts, and sharing and printing workbooks. Upon wrapping up this course, you'll have the skills you need to start building easy-to-use, accurate spreadsheets with this hugely popular program.",Course,2021-06-04 04:14 UTC,N/A,false,N/A,
